id,name,room_type,price,accommodates,bedrooms,bathrooms
5456,"Walk to 6th, Rainey St and Convention Ctr",Entire home/apt,101.0,3,1.0,1.0
5769,NW Austin Room,Private room,45.0,2,1.0,1.0
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",Entire home/apt,155.0,2,1.0,1.0
8502,Woodland Studio Lodging,Entire home/apt,43.0,2,1.0,1.0
13035,Historic house in highly walkable East Austin,Entire home/apt,145.0,3,2.0,2.0
22828,Garage Apartment central SE Austin,Entire home/apt,58.0,2,1.0,1.0
27632,Clarksville Condo - Weekly Rentals Only!,Entire home/apt,95.0,2,1.0,1.0
47572,Cozy Private Room in North Austin for Longer Stays,Private room,72.0,1,1.0,1.0
51100,3-level Condo in Clarksville,Entire home/apt,225.0,5,2.0,2.5
57187,"An Austin ""Weird"" Home in Peaceful Zilker Park",Entire home/apt,93.0,6,1.0,1.0
69303,Hestia - Zilker Townhome - A Barton Springs Oasis,Entire home/apt,130.0,4,1.0,1.5
70812,1 Bedroom Apt; Above the Studio,Entire home/apt,165.0,3,1.0,1.0
76501,Apartment in Historic Central Austin Home,Entire home/apt,106.0,3,1.0,1.0
78422,Living the Dream on Richardine (3br 1ba E. Austin),Entire home/apt,74.0,6,3.0,1.0
78884,Cozy Barton Hills Studio | Walk to Zilker Park,Entire home/apt,82.0,2,0.0,1.0
79603,Beautiful Bouldin Cottage - 78704,Entire home/apt,134.0,2,2.0,1.0
82033,"Clean and quiet 3/2, in Mueller area.",Entire home/apt,225.0,12,3.0,2.0
83643,Fun Central Austin Convenience,Private room,57.0,2,1.0,1.0
90957,"SOCO Austin, TX Guest Room in 2Bedroom House",Private room,115.0,3,1.0,1.0
104386,South Austin Cottage 78704 - 2BR,Entire home/apt,150.0,4,2.0,1.0
104394,SanctuarySuite on Preserve near Downtown,Private room,53.0,2,1.0,1.5
113779,Spacious 1BR w/ Office in Hyde Park,Entire home/apt,85.0,2,1.0,1.0
128326,Austin City Limits-Private Pool-by Nature Preserve,Entire home/apt,236.0,6,3.0,2.0
140474,Historic Hyde Park Home By Downtown,Entire home/apt,110.0,4,2.0,1.0
140504,1915 Home w/1BR With Modern Flare,Entire home/apt,107.0,2,1.0,1.0
145210,Maiden Lane Guesthouse,Entire home/apt,135.0,2,1.0,1.0
154103,"4 BDR Home Ideal for SXSW, F1, ACL",Entire home/apt,328.0,8,5.0,2.0
174828,Light & Airy Central Austin Retreat,Entire home/apt,293.0,10,4.0,2.0
202187,South Congress Apartment,Entire home/apt,71.0,2,1.0,1.0
207054,2/1 Mid-Century Home 1 mile from Downtown,Entire home/apt,129.0,5,2.0,1.0
208897,Bright & Cozy Haven in East Austin,Entire home/apt,162.0,8,3.0,1.0
210834,S. Congress 3BR Cottage-steps to Music Lane in ATX,Entire home/apt,243.0,6,3.0,2.5
216473,The Cliff Studio,Entire home/apt,218.0,2,1.0,1.0
224603,Modern Studio Loft,Entire home/apt,81.0,2,0.0,1.0
233930,The Treehouse 1930's Hyde Park Home,Entire home/apt,77.0,4,2.0,1.0
238657,Hill House in Wonderful Bouldin!,Entire home/apt,125.0,4,2.0,1.0
240541,Stay in the Birdhouse! East/Downtow,Entire home/apt,37.0,2,1.0,1.0
248515,Cute Eastside Bungalow -  Perfect Austin Base,Entire home/apt,120.0,4,2.0,1.0
254232,Exceptional Luxury Home Central Austin,Entire home/apt,424.0,5,2.0,2.0
271052,Entire Condo is South Austin 78704!,Entire home/apt,135.0,4,2.0,2.0
295275,Stylish 3/2/2 with large backyard,Entire home/apt,144.0,6,3.0,2.0
299282,Light Filled Historic Home monthly stays Hyde Park,Entire home/apt,200.0,6,3.0,2.5
300574,Historic So Austin RetroHipGroovy LoftCottage78704,Entire home/apt,133.0,4,1.0,1.0
304866,Big cute clean Casita in SxSAustin TX!,Entire home/apt,89.0,3,1.0,1.0
319894,The Perfect Austin Modern Home,Entire home/apt,160.0,8,3.0,2.5
321069,4/3 Central Austin Mid-Century Modern,Entire home/apt,390.0,8,4.0,3.0
329306,"Urban Homestead, 5 minutes to downtown",Private room,68.0,2,1.0,1.0
333442,Rare Secluded 1940s Cool Blue Private Pool,Entire home/apt,230.0,10,5.0,3.0
333815,Solar Sanctuary - Austin Room,Private room,102.0,2,1.0,1.5
335231,Travis Heights Urban Farm House,Entire home/apt,97.0,4,2.0,1.0
